,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11,NMF_12,NMF_13,NMF_14,NMF_15,NMF_16,NMF_17,NMF_18
CFH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029151459937677747,0.43013400425654563,0.0011736771133614926,0.0,0.0,0.0
PTPRC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48518300512746726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00862,0.06779800788153886,0.0191658939468229,0.12647758608169551,0.0,0.10302879733527344,0.03065489504939214,0.021815679299029524,0.0058020606489597604,0.006376462836296007,0.3258318384521782,0.025827908899882627,0.023308531289751026,0.0,0.0013520376332453949,0.0031672264725933325,0.27313807000399376,0.07367401133486398,0.00933160038653639,0.19765346965888805
IGFN1,0.0,0.0,0.0,0.0,0.0044630076098651945,0.0,0.0,0.0,0.0,0.0,0.0,6.944009559419972e-05,0.0024861827372330025,0.0,0.003548352117796889,0.0006627377455809065,0.0,0.0,0.0
CHI3L1,0.0,0.0,0.0,0.0,0.030386523276302566,0.0,0.0,0.0,0.006146413896198942,0.0,0.006837238701958556,0.0,0.02208207676178071,0.011739163839877527,0.019116968867975172,0.0004342228622450329,0.0,0.0,0.0
CDK18,0.0,0.0,0.4094648563648563,0.0,0.02626811688903591,0.04337342072666348,0.0,0.021720179478498282,0.0,0.37141616545898537,0.06845252205786634,0.0,0.0,0.0,0.0,0.5598903491293986,0.0,0.0050053203986246166,0.21432556316538326
SRGAP2,0.1984053768671715,0.05007356469395965,0.06935999674302835,0.0,0.11723578482741741,0.13182007840903145,0.2373506678199834,0.023550673250647757,0.6133179205110733,0.09441526615248262,0.05330744425784258,0.13146883404437515,0.0,0.0,0.23969768266266372,0.18093291623515398,0.12464280231346823,0.06221953721850816,0.03407563201938486
CD55,0.02810583500485401,0.0,0.009818861517039621,0.0,0.010179967949869018,0.03869563880836041,0.052080654147952446,0.0,0.038617841637103,0.7075354707920272,0.0,0.04228039264909815,0.0,0.0001372415415143177,0.10170841858482206,0.2333584681206909,0.05204674161509609,0.01351764338920606,0.18695419472347488
CR1,0.0,0.00011809755581921965,0.011612540192051596,0.0,0.0,0.0,0.0,0.0,0.0016051179012106158,0.11957749928655165,0.0,0.0,0.0,0.0,0.0015297928007862334,0.0445987844571828,0.0,0.0,0.03551214320346899
CD34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17733822169597363,0.0,0.0,0.0,0.0
HSD11B1,0.0,0.0,0.0,0.008794757201811235,0.01947540394786942,0.0047717696347155366,0.001956085835898756,0.0,0.0,0.14781438334971753,0.0010914468447555897,0.0,0.0009762668964278181,0.0,0.016914615133044264,0.03689831103479805,0.0032090895468633736,0.0,0.026698199562002204
